  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
 -16.000  -1.3840   0.04191   0.03756  -0.0304   1.0000   0.0142
 -15.950  -1.3854   0.04115   0.03677  -0.0307   1.0000   0.0143
 -15.900  -1.3864   0.04043   0.03603  -0.0309   1.0000   0.0143
 -15.850  -1.3871   0.03975   0.03533  -0.0310   1.0000   0.0143
 -15.800  -1.3880   0.03908   0.03464  -0.0312   1.0000   0.0144
 -15.750  -1.3884   0.03846   0.03400  -0.0313   1.0000   0.0144
 -15.700  -1.3888   0.03785   0.03337  -0.0315   1.0000   0.0144
 -15.650  -1.3888   0.03729   0.03280  -0.0316   1.0000   0.0145
 -15.600  -1.3890   0.03672   0.03221  -0.0316   1.0000   0.0145
 -15.550  -1.3890   0.03618   0.03165  -0.0317   1.0000   0.0146
 -15.500  -1.3885   0.03570   0.03115  -0.0317   1.0000   0.0146
 -15.450  -1.3881   0.03522   0.03065  -0.0317   1.0000   0.0147
 -15.400  -1.3873   0.03478   0.03020  -0.0318   1.0000   0.0147
 -15.350  -1.3870   0.03431   0.02971  -0.0317   1.0000   0.0147
 -15.300  -1.3862   0.03389   0.02928  -0.0317   1.0000   0.0148
 -15.250  -1.3852   0.03350   0.02887  -0.0317   1.0000   0.0148
 -15.200  -1.3842   0.03310   0.02846  -0.0316   1.0000   0.0149
 -15.150  -1.3831   0.03273   0.02807  -0.0315   1.0000   0.0149
 -15.100  -1.3822   0.03234   0.02766  -0.0315   1.0000   0.0150
 -15.050  -1.3810   0.03198   0.02729  -0.0314   1.0000   0.0150
 -15.000  -1.3802   0.03159   0.02688  -0.0313   1.0000   0.0151
 -14.950  -1.3785   0.03130   0.02657  -0.0312   1.0000   0.0151
 -14.900  -1.3772   0.03096   0.02622  -0.0310   1.0000   0.0152
 -14.850  -1.3759   0.03064   0.02588  -0.0309   1.0000   0.0153
 -14.800  -1.3744   0.03034   0.02557  -0.0307   1.0000   0.0153
 -14.750  -1.3733   0.03001   0.02522  -0.0306   1.0000   0.0154
 -14.700  -1.3718   0.02971   0.02491  -0.0304   1.0000   0.0154
 -14.650  -1.3705   0.02940   0.02458  -0.0302   1.0000   0.0155
 -14.600  -1.3690   0.02912   0.02428  -0.0300   1.0000   0.0155
 -14.550  -1.3675   0.02883   0.02398  -0.0298   1.0000   0.0156
 -14.500  -1.3661   0.02855   0.02368  -0.0296   1.0000   0.0156
 -14.450  -1.3645   0.02828   0.02339  -0.0294   1.0000   0.0157
 -14.400  -1.3630   0.02800   0.02310  -0.0291   1.0000   0.0157
 -14.350  -1.3615   0.02774   0.02282  -0.0289   1.0000   0.0158
 -14.300  -1.3598   0.02749   0.02255  -0.0286   1.0000   0.0159
 -14.250  -1.3581   0.02724   0.02229  -0.0283   1.0000   0.0159
 -14.200  -1.3565   0.02699   0.02202  -0.0281   1.0000   0.0160
 -14.150  -1.3547   0.02675   0.02177  -0.0278   1.0000   0.0160
 -14.100  -1.3529   0.02653   0.02152  -0.0275   1.0000   0.0161
 -14.050  -1.3510   0.02630   0.02128  -0.0272   1.0000   0.0161
 -14.000  -1.3493   0.02607   0.02104  -0.0269   1.0000   0.0162
 -13.950  -1.3472   0.02587   0.02082  -0.0266   1.0000   0.0162
 -13.900  -1.3453   0.02566   0.02058  -0.0263   1.0000   0.0163
 -13.850  -1.3432   0.02546   0.02037  -0.0260   1.0000   0.0163
 -13.800  -1.3410   0.02527   0.02016  -0.0257   1.0000   0.0164
 -13.750  -1.3388   0.02508   0.01996  -0.0253   1.0000   0.0164
 -13.700  -1.3366   0.02490   0.01976  -0.0250   1.0000   0.0165
 -13.650  -1.3342   0.02473   0.01957  -0.0247   1.0000   0.0165
 -13.600  -1.3318   0.02456   0.01939  -0.0244   1.0000   0.0166
 -13.550  -1.3292   0.02440   0.01921  -0.0241   1.0000   0.0166
 -13.500  -1.3267   0.02424   0.01904  -0.0237   1.0000   0.0166
 -13.450  -1.3242   0.02408   0.01886  -0.0234   1.0000   0.0167
 -13.400  -1.3215   0.02394   0.01870  -0.0231   1.0000   0.0167
 -13.350  -1.3196   0.02375   0.01849  -0.0227   1.0000   0.0168
 -13.300  -1.3204   0.02339   0.01812  -0.0219   1.0000   0.0169
 -13.250  -1.3204   0.02310   0.01780  -0.0213   1.0000   0.0170
 -13.200  -1.3201   0.02283   0.01752  -0.0206   1.0000   0.0171
 -13.150  -1.3193   0.02258   0.01726  -0.0200   1.0000   0.0172
 -13.100  -1.3181   0.02236   0.01702  -0.0195   1.0000   0.0172
 -13.050  -1.3166   0.02216   0.01681  -0.0190   1.0000   0.0173
 -13.000  -1.3147   0.02197   0.01661  -0.0185   1.0000   0.0174
 -12.950  -1.3122   0.02180   0.01643  -0.0181   1.0000   0.0175
 -12.900  -1.3096   0.02163   0.01625  -0.0178   1.0000   0.0176
 -12.850  -1.3066   0.02147   0.01608  -0.0174   1.0000   0.0177
 -12.800  -1.3035   0.02132   0.01592  -0.0172   1.0000   0.0178
 -12.750  -1.3003   0.02117   0.01577  -0.0169   1.0000   0.0179
 -12.700  -1.2970   0.02103   0.01562  -0.0166   1.0000   0.0180
 -12.650  -1.2936   0.02090   0.01548  -0.0163   1.0000   0.0181
 -12.600  -1.2901   0.02077   0.01534  -0.0161   1.0000   0.0182
 -12.550  -1.2865   0.02064   0.01520  -0.0159   1.0000   0.0182
 -12.500  -1.2829   0.02052   0.01507  -0.0156   1.0000   0.0183
 -12.450  -1.2793   0.02040   0.01494  -0.0154   1.0000   0.0184
 -12.400  -1.2756   0.02027   0.01481  -0.0152   1.0000   0.0185
 -12.350  -1.2719   0.02015   0.01468  -0.0149   1.0000   0.0186
 -12.300  -1.2682   0.02003   0.01455  -0.0147   1.0000   0.0187
 -12.250  -1.2644   0.01991   0.01442  -0.0145   1.0000   0.0188
 -12.200  -1.2606   0.01979   0.01429  -0.0143   1.0000   0.0189
 -12.150  -1.2568   0.01968   0.01416  -0.0140   1.0000   0.0190
 -12.100  -1.2529   0.01956   0.01403  -0.0138   1.0000   0.0191
 -12.050  -1.2490   0.01945   0.01391  -0.0136   1.0000   0.0193
 -12.000  -1.2451   0.01934   0.01379  -0.0134   1.0000   0.0194
 -11.950  -1.2410   0.01924   0.01368  -0.0132   1.0000   0.0195
 -11.900  -1.2370   0.01913   0.01356  -0.0130   1.0000   0.0196
 -11.850  -1.2329   0.01904   0.01345  -0.0128   1.0000   0.0197
 -11.800  -1.2287   0.01894   0.01334  -0.0127   1.0000   0.0198
 -11.750  -1.2245   0.01885   0.01324  -0.0125   1.0000   0.0199
 -11.700  -1.2202   0.01876   0.01314  -0.0123   1.0000   0.0199
 -11.650  -1.2158   0.01868   0.01305  -0.0122   1.0000   0.0200
 -11.600  -1.2114   0.01861   0.01296  -0.0120   1.0000   0.0201
 -11.550  -1.2080   0.01844   0.01278  -0.0117   1.0000   0.0202
 -11.500  -1.2055   0.01819   0.01252  -0.0113   1.0000   0.0204
 -11.450  -1.2025   0.01800   0.01232  -0.0110   1.0000   0.0206
 -11.400  -1.1990   0.01783   0.01214  -0.0107   1.0000   0.0208
 -11.350  -1.1954   0.01768   0.01199  -0.0105   1.0000   0.0210
 -11.300  -1.1915   0.01755   0.01186  -0.0102   1.0000   0.0212
 -11.250  -1.1875   0.01743   0.01174  -0.0100   1.0000   0.0213
 -11.200  -1.1833   0.01732   0.01162  -0.0098   1.0000   0.0215
 -11.150  -1.1792   0.01722   0.01151  -0.0097   1.0000   0.0216
 -11.100  -1.1749   0.01712   0.01141  -0.0095   1.0000   0.0218
 -11.050  -1.1707   0.01702   0.01130  -0.0093   1.0000   0.0219
 -11.000  -1.1664   0.01693   0.01120  -0.0091   1.0000   0.0221
 -10.950  -1.1620   0.01683   0.01110  -0.0090   1.0000   0.0222
 -10.900  -1.1577   0.01674   0.01101  -0.0088   1.0000   0.0224
 -10.850  -1.1533   0.01665   0.01091  -0.0086   1.0000   0.0225
 -10.800  -1.1490   0.01656   0.01081  -0.0084   1.0000   0.0227
 -10.750  -1.1446   0.01648   0.01072  -0.0083   1.0000   0.0228
 -10.700  -1.1402   0.01639   0.01062  -0.0081   1.0000   0.0230
 -10.650  -1.1358   0.01630   0.01053  -0.0079   1.0000   0.0231
 -10.600  -1.1313   0.01622   0.01043  -0.0078   1.0000   0.0233
 -10.550  -1.1269   0.01614   0.01034  -0.0076   1.0000   0.0234
 -10.500  -1.1224   0.01606   0.01026  -0.0074   1.0000   0.0236
 -10.450  -1.1178   0.01599   0.01017  -0.0073   1.0000   0.0237
 -10.400  -1.1133   0.01591   0.01009  -0.0071   1.0000   0.0238
 -10.350  -1.1087   0.01585   0.01001  -0.0070   1.0000   0.0239
 -10.300  -1.1041   0.01578   0.00994  -0.0068   1.0000   0.0240
 -10.250  -1.1008   0.01559   0.00974  -0.0065   1.0000   0.0243
 -10.200  -1.0972   0.01543   0.00957  -0.0062   1.0000   0.0246
 -10.150  -1.0934   0.01529   0.00943  -0.0059   1.0000   0.0248
 -10.100  -1.0893   0.01518   0.00931  -0.0057   1.0000   0.0251
 -10.050  -1.0851   0.01507   0.00920  -0.0055   1.0000   0.0253
 -10.000  -1.0808   0.01498   0.00911  -0.0053   1.0000   0.0255
  -9.950  -1.0765   0.01489   0.00902  -0.0051   1.0000   0.0258
  -9.900  -1.0721   0.01481   0.00894  -0.0049   1.0000   0.0260
  -9.850  -1.0677   0.01473   0.00886  -0.0047   1.0000   0.0262
  -9.800  -1.0633   0.01466   0.00878  -0.0045   1.0000   0.0264
  -9.750  -1.0588   0.01459   0.00870  -0.0043   1.0000   0.0266
  -9.700  -1.0544   0.01452   0.00863  -0.0042   1.0000   0.0269
  -9.650  -1.0499   0.01445   0.00856  -0.0040   1.0000   0.0271
  -9.600  -1.0455   0.01438   0.00849  -0.0038   1.0000   0.0273
  -9.550  -1.0410   0.01432   0.00842  -0.0036   1.0000   0.0276
  -9.500  -1.0365   0.01426   0.00835  -0.0034   1.0000   0.0278
  -9.450  -1.0320   0.01420   0.00829  -0.0032   1.0000   0.0280
  -9.400  -1.0275   0.01415   0.00822  -0.0030   1.0000   0.0282
  -9.350  -1.0229   0.01410   0.00817  -0.0028   1.0000   0.0283
  -9.300  -1.0188   0.01401   0.00807  -0.0026   1.0000   0.0285
  -9.250  -1.0153   0.01386   0.00792  -0.0023   1.0000   0.0290
  -9.200  -1.0114   0.01375   0.00780  -0.0019   1.0000   0.0294
  -9.150  -1.0074   0.01365   0.00771  -0.0017   1.0000   0.0297
  -9.100  -1.0033   0.01356   0.00762  -0.0014   1.0000   0.0301
  -9.050  -0.9991   0.01348   0.00754  -0.0012   1.0000   0.0304
  -9.000  -0.9949   0.01341   0.00747  -0.0009   1.0000   0.0307
  -8.950  -0.9906   0.01334   0.00740  -0.0007   1.0000   0.0310
  -8.900  -0.9863   0.01327   0.00733  -0.0005   1.0000   0.0313
  -8.850  -0.9819   0.01321   0.00727  -0.0003   1.0000   0.0316
  -8.800  -0.9776   0.01315   0.00720  -0.0000   1.0000   0.0319
  -8.750  -0.9732   0.01309   0.00714   0.0002   1.0000   0.0322
  -8.700  -0.9689   0.01303   0.00708   0.0004   1.0000   0.0325
  -8.650  -0.9645   0.01298   0.00702   0.0006   1.0000   0.0327
  -8.600  -0.9601   0.01293   0.00696   0.0009   1.0000   0.0330
  -8.550  -0.9557   0.01288   0.00690   0.0011   1.0000   0.0332
  -8.500  -0.9512   0.01283   0.00685   0.0013   1.0000   0.0334
  -8.450  -0.9474   0.01273   0.00674   0.0016   1.0000   0.0339
  -8.400  -0.9436   0.01262   0.00664   0.0019   1.0000   0.0345
  -8.350  -0.9397   0.01253   0.00655   0.0022   1.0000   0.0350
  -8.300  -0.9356   0.01246   0.00648   0.0025   1.0000   0.0355
  -8.250  -0.9314   0.01239   0.00642   0.0028   1.0000   0.0359
  -8.200  -0.9273   0.01232   0.00635   0.0030   1.0000   0.0364
  -8.150  -0.9230   0.01226   0.00629   0.0033   1.0000   0.0368
  -8.100  -0.9188   0.01221   0.00624   0.0035   1.0000   0.0373
  -8.050  -0.9145   0.01216   0.00619   0.0038   1.0000   0.0377
  -8.000  -0.9102   0.01211   0.00613   0.0040   1.0000   0.0381
  -7.950  -0.9059   0.01206   0.00608   0.0043   1.0000   0.0385
  -7.900  -0.9015   0.01202   0.00603   0.0045   1.0000   0.0388
  -7.850  -0.8971   0.01198   0.00599   0.0047   1.0000   0.0391
  -7.800  -0.8930   0.01191   0.00592   0.0050   1.0000   0.0396
  -7.750  -0.8892   0.01182   0.00583   0.0053   1.0000   0.0405
  -7.700  -0.8852   0.01174   0.00576   0.0056   1.0000   0.0412
  -7.650  -0.8812   0.01167   0.00569   0.0059   1.0000   0.0418
  -7.600  -0.8771   0.01160   0.00563   0.0062   1.0000   0.0424
  -7.550  -0.8729   0.01155   0.00558   0.0064   1.0000   0.0430
  -7.500  -0.8687   0.01149   0.00553   0.0067   1.0000   0.0436
  -7.450  -0.8645   0.01144   0.00548   0.0070   1.0000   0.0441
  -7.400  -0.8602   0.01139   0.00543   0.0072   1.0000   0.0447
  -7.350  -0.8559   0.01135   0.00538   0.0075   1.0000   0.0452
  -7.300  -0.8516   0.01131   0.00533   0.0077   1.0000   0.0456
  -7.250  -0.8472   0.01128   0.00529   0.0079   1.0000   0.0460
  -7.200  -0.8433   0.01120   0.00522   0.0082   1.0000   0.0470
  -7.150  -0.8393   0.01112   0.00515   0.0085   1.0000   0.0480
  -7.100  -0.8352   0.01106   0.00510   0.0088   1.0000   0.0489
  -7.050  -0.8310   0.01100   0.00504   0.0091   1.0000   0.0497
  -7.000  -0.8269   0.01094   0.00500   0.0093   1.0000   0.0506
  -6.950  -0.8226   0.01089   0.00495   0.0096   1.0000   0.0514
  -6.900  -0.8181   0.01085   0.00491   0.0098   1.0000   0.0522
  -6.850  -0.8112   0.01080   0.00486   0.0095   0.9997   0.0531
  -6.800  -0.8042   0.01076   0.00482   0.0091   0.9995   0.0538
  -6.750  -0.7975   0.01068   0.00474   0.0089   0.9992   0.0554
  -6.700  -0.7908   0.01060   0.00468   0.0086   0.9989   0.0570
  -6.650  -0.7840   0.01052   0.00462   0.0083   0.9985   0.0584
  -6.600  -0.7772   0.01046   0.00456   0.0080   0.9982   0.0597
  -6.550  -0.7703   0.01041   0.00451   0.0077   0.9979   0.0610
  -6.500  -0.7633   0.01036   0.00447   0.0073   0.9975   0.0620
  -6.400  -0.7496   0.01023   0.00435   0.0067   0.9969   0.0654
  -6.350  -0.7428   0.01016   0.00430   0.0064   0.9965   0.0673
  -6.300  -0.7359   0.01009   0.00425   0.0061   0.9962   0.0691
  -6.250  -0.7289   0.01004   0.00420   0.0058   0.9959   0.0708
  -6.200  -0.7218   0.00999   0.00416   0.0054   0.9955   0.0722
  -6.150  -0.7148   0.00994   0.00411   0.0051   0.9952   0.0743
  -6.100  -0.7079   0.00986   0.00405   0.0047   0.9949   0.0770
  -6.050  -0.7009   0.00979   0.00400   0.0044   0.9947   0.0793
  -6.000  -0.6939   0.00973   0.00395   0.0041   0.9944   0.0815
  -5.950  -0.6867   0.00968   0.00391   0.0037   0.9941   0.0834
  -5.900  -0.6796   0.00962   0.00386   0.0033   0.9939   0.0859
  -5.850  -0.6729   0.00955   0.00381   0.0030   0.9935   0.0888
  -5.800  -0.6665   0.00948   0.00376   0.0029   0.9930   0.0915
  -5.750  -0.6600   0.00942   0.00371   0.0026   0.9924   0.0939
  -5.700  -0.6534   0.00938   0.00367   0.0024   0.9919   0.0960
  -5.650  -0.6468   0.00931   0.00362   0.0022   0.9913   0.0993
  -5.600  -0.6402   0.00923   0.00357   0.0019   0.9907   0.1027
  -5.550  -0.6335   0.00917   0.00352   0.0016   0.9902   0.1059
  -5.500  -0.6267   0.00912   0.00348   0.0013   0.9897   0.1087
  -5.450  -0.6199   0.00906   0.00344   0.0011   0.9892   0.1123
  -5.400  -0.6132   0.00898   0.00339   0.0008   0.9887   0.1163
  -5.350  -0.6063   0.00892   0.00335   0.0005   0.9882   0.1199
  -5.300  -0.5993   0.00887   0.00331   0.0001   0.9877   0.1228
  -5.250  -0.5924   0.00880   0.00326  -0.0002   0.9873   0.1271
  -5.200  -0.5854   0.00873   0.00321  -0.0005   0.9868   0.1313
  -5.150  -0.5784   0.00867   0.00317  -0.0009   0.9864   0.1353
  -5.100  -0.5713   0.00862   0.00313  -0.0012   0.9860   0.1392
  -5.050  -0.5642   0.00854   0.00309  -0.0016   0.9856   0.1442
  -5.000  -0.5571   0.00848   0.00304  -0.0019   0.9853   0.1489
  -4.950  -0.5499   0.00842   0.00301  -0.0023   0.9849   0.1528
  -4.900  -0.5428   0.00834   0.00296  -0.0027   0.9846   0.1584
  -4.850  -0.5356   0.00828   0.00292  -0.0030   0.9843   0.1634
  -4.750  -0.5213   0.00815   0.00284  -0.0038   0.9835   0.1731
  -4.700  -0.5143   0.00809   0.00280  -0.0041   0.9832   0.1784
  -4.650  -0.5072   0.00804   0.00277  -0.0045   0.9828   0.1831
  -4.600  -0.5020   0.00797   0.00273  -0.0044   0.9813   0.1881
  -4.550  -0.4963   0.00791   0.00269  -0.0044   0.9801   0.1936
  -4.450  -0.4841   0.00779   0.00262  -0.0047   0.9778   0.2038
  -4.400  -0.4778   0.00774   0.00258  -0.0048   0.9768   0.2092
  -4.350  -0.4714   0.00769   0.00255  -0.0050   0.9758   0.2139
  -4.300  -0.4652   0.00762   0.00251  -0.0052   0.9748   0.2199
  -4.250  -0.4588   0.00756   0.00248  -0.0053   0.9738   0.2254
  -4.200  -0.4524   0.00751   0.00245  -0.0055   0.9729   0.2306
  -4.150  -0.4460   0.00744   0.00241  -0.0057   0.9720   0.2368
  -4.100  -0.4395   0.00739   0.00238  -0.0059   0.9712   0.2427
  -4.050  -0.4330   0.00734   0.00235  -0.0061   0.9703   0.2481
  -4.000  -0.4276   0.00728   0.00232  -0.0061   0.9687   0.2538
  -3.950  -0.4226   0.00724   0.00229  -0.0059   0.9667   0.2589
  -3.900  -0.4173   0.00719   0.00226  -0.0059   0.9648   0.2640
  -3.850  -0.4119   0.00713   0.00223  -0.0058   0.9630   0.2700
  -3.800  -0.4062   0.00709   0.00220  -0.0058   0.9614   0.2752
  -3.750  -0.4005   0.00704   0.00217  -0.0058   0.9599   0.2808
  -3.700  -0.3947   0.00699   0.00214  -0.0059   0.9584   0.2869
  -3.650  -0.3887   0.00695   0.00212  -0.0059   0.9570   0.2922
  -3.600  -0.3830   0.00689   0.00209  -0.0060   0.9557   0.2980
  -3.550  -0.3781   0.00685   0.00206  -0.0058   0.9534   0.3036
  -3.500  -0.3729   0.00681   0.00204  -0.0057   0.9511   0.3089
  -3.450  -0.3678   0.00676   0.00202  -0.0056   0.9488   0.3143
  -3.400  -0.3624   0.00672   0.00199  -0.0055   0.9467   0.3199
  -3.300  -0.3516   0.00663   0.00194  -0.0054   0.9427   0.3308
  -3.250  -0.3462   0.00659   0.00191  -0.0053   0.9409   0.3368
  -3.150  -0.3358   0.00651   0.00187  -0.0051   0.9360   0.3476
  -3.100  -0.3306   0.00647   0.00185  -0.0050   0.9335   0.3535
  -3.000  -0.3201   0.00640   0.00180  -0.0048   0.9285   0.3638
  -2.950  -0.3148   0.00636   0.00178  -0.0047   0.9261   0.3698
  -2.900  -0.3095   0.00633   0.00176  -0.0046   0.9239   0.3751
  -2.850  -0.3043   0.00629   0.00174  -0.0045   0.9211   0.3805
  -2.800  -0.2991   0.00626   0.00172  -0.0044   0.9182   0.3865
  -2.750  -0.2938   0.00623   0.00170  -0.0043   0.9153   0.3918
  -2.700  -0.2886   0.00619   0.00168  -0.0042   0.9125   0.3972
  -2.650  -0.2833   0.00616   0.00166  -0.0041   0.9097   0.4030
  -2.600  -0.2780   0.00613   0.00164  -0.0040   0.9071   0.4082
  -2.550  -0.2728   0.00609   0.00162  -0.0039   0.9040   0.4138
  -2.500  -0.2674   0.00607   0.00160  -0.0039   0.9009   0.4195
  -2.450  -0.2622   0.00604   0.00158  -0.0038   0.8976   0.4248
  -2.400  -0.2570   0.00601   0.00156  -0.0036   0.8945   0.4301
  -2.350  -0.2517   0.00599   0.00154  -0.0035   0.8914   0.4360
  -2.300  -0.2463   0.00596   0.00153  -0.0035   0.8883   0.4411
  -2.250  -0.2410   0.00593   0.00151  -0.0034   0.8849   0.4466
  -2.200  -0.2357   0.00590   0.00150  -0.0033   0.8813   0.4528
  -2.150  -0.2304   0.00588   0.00148  -0.0032   0.8779   0.4580
  -2.050  -0.2198   0.00583   0.00145  -0.0030   0.8712   0.4690
  -2.000  -0.2144   0.00581   0.00144  -0.0030   0.8674   0.4742
  -1.950  -0.2091   0.00578   0.00142  -0.0029   0.8636   0.4798
  -1.900  -0.2039   0.00577   0.00141  -0.0028   0.8599   0.4856
  -1.850  -0.1985   0.00575   0.00139  -0.0027   0.8563   0.4910
  -1.800  -0.1932   0.00572   0.00138  -0.0026   0.8525   0.4961
  -1.750  -0.1878   0.00570   0.00137  -0.0026   0.8486   0.5017
  -1.650  -0.1772   0.00567   0.00134  -0.0024   0.8409   0.5126
  -1.600  -0.1718   0.00565   0.00133  -0.0023   0.8368   0.5182
